fips,county,year,age,pop_female,pop_male,pop_total
6001,ALAMEDA,1970,0,8533,8671,17204
6001,ALAMEDA,1970,1,8151,8252,16403
6001,ALAMEDA,1970,2,7753,8015,15768
6001,ALAMEDA,1970,3,8018,8412,16430
6001,ALAMEDA,1970,4,8551,8648,17199
6001,ALAMEDA,1970,5,9012,9208,18220
6001,ALAMEDA,1970,6,9637,9636,19273
6001,ALAMEDA,1970,7,9561,9713,19274
6001,ALAMEDA,1970,8,9648,10008,19656
6001,ALAMEDA,1970,9,9718,10093,19811
6001,ALAMEDA,1970,10,9734,10338,20072
6001,ALAMEDA,1970,11,9470,9470,18940
6001,ALAMEDA,1970,12,9633,9696,19329
6001,ALAMEDA,1970,13,9452,9407,18859
6001,ALAMEDA,1970,14,9197,9631,18828
6001,ALAMEDA,1970,15,8994,9198,18192
6001,ALAMEDA,1970,16,8827,9042,17869
6001,ALAMEDA,1970,17,8863,9183,18046
6001,ALAMEDA,1970,18,9226,9672,18898
6001,ALAMEDA,1970,19,9918,11124,21042
6001,ALAMEDA,1970,20,11514,14265,25779
6001,ALAMEDA,1970,21,11611,14663,26274
6001,ALAMEDA,1970,22,11754,14577,26331
6001,ALAMEDA,1970,23,11828,13460,25288
6001,ALAMEDA,1970,24,9304,10103,19407
6001,ALAMEDA,1970,25,9307,9739,19046
6001,ALAMEDA,1970,26,8968,9863,18831
6001,ALAMEDA,1970,27,9097,9611,18708
6001,ALAMEDA,1970,28,7838,8268,16106
6001,ALAMEDA,1970,29,7270,7766,15036
6001,ALAMEDA,1970,30,7305,7722,15027
6001,ALAMEDA,1970,31,6644,6900,13544
6001,ALAMEDA,1970,32,6331,6747,13078
6001,ALAMEDA,1970,33,6127,6405,12532
6001,ALAMEDA,1970,34,5956,6184,12140
6001,ALAMEDA,1970,35,6073,6257,12330
6001,ALAMEDA,1970,36,5679,5937,11616
6001,ALAMEDA,1970,37,5790,5864,11654
6001,ALAMEDA,1970,38,5625,5898,11523
6001,ALAMEDA,1970,39,5846,5980,11826
6001,ALAMEDA,1970,40,6328,6153,12481
6001,ALAMEDA,1970,41,6036,5661,11697
6001,ALAMEDA,1970,42,6236,5881,12117
6001,ALAMEDA,1970,43,6469,5957,12426
6001,ALAMEDA,1970,44,6694,6097,12791
6001,ALAMEDA,1970,45,6788,6328,13116
6001,ALAMEDA,1970,46,6823,6265,13088
6001,ALAMEDA,1970,47,6824,6213,13037
6001,ALAMEDA,1970,48,6616,6416,13032
6001,ALAMEDA,1970,49,6461,6240,12701
6001,ALAMEDA,1970,50,6633,6297,12930
6001,ALAMEDA,1970,51,5859,5612,11471
6001,ALAMEDA,1970,52,5792,5280,11072
6001,ALAMEDA,1970,53,5495,5132,10627
6001,ALAMEDA,1970,54,5553,5339,10892
6001,ALAMEDA,1970,55,5460,5035,10495
6001,ALAMEDA,1970,56,5307,4834,10141
6001,ALAMEDA,1970,57,5059,4622,9681
6001,ALAMEDA,1970,58,4933,4520,9453
6001,ALAMEDA,1970,59,4879,4271,9150
6001,ALAMEDA,1970,60,4671,4318,8989
6001,ALAMEDA,1970,61,4258,3901,8159
6001,ALAMEDA,1970,62,4121,3820,7941
6001,ALAMEDA,1970,63,4159,3448,7607
6001,ALAMEDA,1970,64,3909,3401,7310
6001,ALAMEDA,1970,65,3776,3054,6830
6001,ALAMEDA,1970,66,3609,2937,6546
6001,ALAMEDA,1970,67,3543,2728,6271
6001,ALAMEDA,1970,68,3256,2495,5751
6001,ALAMEDA,1970,69,3403,2496,5899
6001,ALAMEDA,1970,70,3525,2390,5915
6001,ALAMEDA,1970,71,3024,2065,5089
6001,ALAMEDA,1970,72,2866,1873,4739
6001,ALAMEDA,1970,73,2805,1865,4670
6001,ALAMEDA,1970,74,2850,1670,4520
6001,ALAMEDA,1970,75,2695,1624,4319
6001,ALAMEDA,1970,76,2451,1413,3864
6001,ALAMEDA,1970,77,2479,1396,3875
6001,ALAMEDA,1970,78,2079,1140,3219
6001,ALAMEDA,1970,79,1956,1084,3040
6001,ALAMEDA,1970,80,2208,1370,3578
6001,ALAMEDA,1970,81,1757,941,2698
6001,ALAMEDA,1970,82,1496,803,2299
6001,ALAMEDA,1970,83,1346,643,1989
6001,ALAMEDA,1970,84,1194,601,1795
6001,ALAMEDA,1970,85,994,494,1488
6001,ALAMEDA,1970,86,854,412,1266
6001,ALAMEDA,1970,87,781,351,1132
6001,ALAMEDA,1970,88,597,264,861
6001,ALAMEDA,1970,89,558,235,793
6001,ALAMEDA,1970,90,383,168,551
6001,ALAMEDA,1970,91,303,131,434
6001,ALAMEDA,1970,92,230,93,323
6001,ALAMEDA,1970,93,173,73,246
6001,ALAMEDA,1970,94,140,53,193
6001,ALAMEDA,1970,95,101,36,137
6001,ALAMEDA,1970,96,73,27,100
6001,ALAMEDA,1970,97,50,18,68
6001,ALAMEDA,1970,98,39,13,52
6001,ALAMEDA,1970,99,29,11,40
