PLACE,DATE,ELEVATION,PRCP,TMAX
Los Angeles,2018-01-21,54.6,0.0,64.0
Los Angeles,2018-01-22,54.6,0.0,69.0
Los Angeles,2018-01-23,54.6,0.0,75.0
Los Angeles,2018-01-24,54.6,0.0,75.0
Los Angeles,2018-01-25,54.6,0.0,63.0
Los Angeles,2018-01-26,54.6,0.0,68.0
Los Angeles,2018-01-27,54.6,0.0,74.0
Los Angeles,2018-01-28,54.6,0.0,83.0
Los Angeles,2018-01-29,54.6,0.0,86.0
Los Angeles,2018-01-30,54.6,0.0,82.0
Los Angeles,2018-01-31,54.6,0.0,81.0
Los Angeles,2018-02-01,54.6,0.0,79.0
Los Angeles,2018-02-02,54.6,0.0,84.0
Los Angeles,2018-02-03,54.6,0.0,80.0
Los Angeles,2018-02-04,54.6,0.0,81.0
Los Angeles,2018-02-05,54.6,0.0,77.0
Los Angeles,2018-02-06,54.6,0.0,73.0
Los Angeles,2018-02-07,54.6,0.0,82.0
Los Angeles,2018-02-08,54.6,0.0,83.0
Los Angeles,2018-02-09,54.6,0.0,73.0
Los Angeles,2018-02-10,54.6,0.0,65.0
Los Angeles,2018-02-11,54.6,0.0,72.0
Los Angeles,2018-02-12,54.6,0.01,63.0
Los Angeles,2018-02-13,54.6,0.0,66.0
Los Angeles,2018-02-14,54.6,0.0,69.0
Los Angeles,2018-02-15,54.6,0.0,71.0
Los Angeles,2018-02-16,54.6,0.0,74.0
Los Angeles,2018-02-17,54.6,0.0,76.0
Los Angeles,2018-02-18,54.6,0.0,69.0
Los Angeles,2018-02-19,54.6,0.0,59.0
Los Angeles,2018-02-20,54.6,0.0,60.0
Los Angeles,2018-02-21,54.6,0.0,62.0
Los Angeles,2018-02-22,54.6,0.0,62.0
Los Angeles,2018-02-23,54.6,0.0,59.0
Los Angeles,2018-02-24,54.6,0.0,62.0
Los Angeles,2018-02-25,54.6,0.0,68.0
Los Angeles,2018-02-26,54.6,0.02,67.0
Los Angeles,2018-02-27,54.6,0.0,56.0
Los Angeles,2018-02-28,54.6,0.0,62.0
Los Angeles,2018-03-01,54.6,0.0,63.0
Los Angeles,2018-03-02,54.6,0.51,59.0
Los Angeles,2018-03-03,54.6,0.05,61.0
Los Angeles,2018-03-04,54.6,0.0,62.0
Los Angeles,2018-03-05,54.6,0.0,72.0
Los Angeles,2018-03-06,54.6,0.0,78.0
Los Angeles,2018-03-07,54.6,0.0,72.0
Los Angeles,2018-03-08,54.6,0.0,73.0
Los Angeles,2018-03-09,54.6,0.0,72.0
Los Angeles,2018-03-10,54.6,0.51,62.0
Los Angeles,2018-03-11,54.6,0.02,69.0
Los Angeles,2018-03-12,54.6,0.0,72.0
Los Angeles,2018-03-13,54.6,0.05,70.0
Los Angeles,2018-03-14,54.6,0.07,65.0
Los Angeles,2018-03-15,54.6,0.17,67.0
Los Angeles,2018-03-16,54.6,0.1,63.0
Los Angeles,2018-03-17,54.6,0.0,62.0
Los Angeles,2018-03-18,54.6,0.0,64.0
Los Angeles,2018-03-19,54.6,0.0,74.0
Los Angeles,2018-03-20,54.6,0.0,72.0
Los Angeles,2018-03-21,54.6,0.65,65.0
Los Angeles,2018-03-22,54.6,0.56,65.0
Los Angeles,2018-03-23,54.6,0.0,69.0
Los Angeles,2018-03-24,54.6,0.0,65.0
Los Angeles,2018-03-25,54.6,0.0,64.0
Los Angeles,2018-03-26,54.6,0.0,72.0
Los Angeles,2018-03-27,54.6,0.0,77.0
Los Angeles,2018-03-28,54.6,0.0,76.0
Los Angeles,2018-03-29,54.6,0.0,74.0
Los Angeles,2018-03-30,54.6,0.0,76.0
Los Angeles,2018-03-31,54.6,0.0,70.0
Los Angeles,2018-04-01,54.6,0.0,70.0
Los Angeles,2018-04-02,54.6,0.0,69.0
Los Angeles,2018-04-03,54.6,0.0,70.0
Los Angeles,2018-04-04,54.6,0.0,66.0
Los Angeles,2018-04-05,54.6,0.0,68.0
Los Angeles,2018-04-06,54.6,0.0,70.0
Los Angeles,2018-04-07,54.6,0.0,72.0
Los Angeles,2018-04-08,54.6,0.0,75.0
Los Angeles,2018-04-09,54.6,0.0,95.0
Los Angeles,2018-04-10,54.6,0.0,88.0
Los Angeles,2018-04-11,54.6,0.0,80.0
Los Angeles,2018-04-12,54.6,0.0,70.0
Los Angeles,2018-04-13,54.6,0.0,79.0
Los Angeles,2018-04-14,54.6,0.0,87.0
Los Angeles,2018-04-15,54.6,0.0,79.0
Los Angeles,2018-04-16,54.6,0.0,65.0
Los Angeles,2018-04-17,54.6,0.0,71.0
Los Angeles,2018-04-18,54.6,0.0,72.0
Los Angeles,2018-04-19,54.6,0.02,63.0
Los Angeles,2018-04-20,54.6,0.0,74.0
Los Angeles,2018-04-21,54.6,0.0,83.0
Los Angeles,2018-04-22,54.6,0.0,79.0
Los Angeles,2018-04-23,54.6,0.0,76.0
Los Angeles,2018-04-24,54.6,0.0,70.0
Los Angeles,2018-04-25,54.6,0.0,70.0
Los Angeles,2018-04-26,54.6,0.0,71.0
Los Angeles,2018-04-27,54.6,0.0,70.0
Los Angeles,2018-04-28,54.6,0.0,70.0
Los Angeles,2018-04-29,54.6,0.0,69.0
Los Angeles,2018-04-30,54.6,0.0,68.0
